driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency,n_laps,n_samples
0,barber_r1,0.06023158373872114,0.07238654604022664,0.23172169188518313,1.395,0.0531054236146313,0.0006768396395112489,0.7161642901406514,28.0,12200.0
2,barber_r1,0.06350257594766325,0.0700956485121973,0.2620482741608331,1.383,0.05603212517755473,0.01511028091611648,0.7703073346335124,24.0,11147.0
3,barber_r1,0.056475687427314715,0.06320799141001979,0.2929030355519118,1.3778500000000002,0.05224515410344255,0.03171320553522317,0.7364039435823334,24.0,11184.0
5,barber_r1,0.07367450126581931,0.07985497247623063,0.2379137534422611,1.3736499999999998,0.04685012694425319,0.06510742847773075,0.7632413335726718,24.0,11248.0
7,barber_r1,0.08387453220103092,0.08648378324414958,0.2725984799498299,1.384,0.05308793573432978,0.04830000634391217,0.7681808953738154,24.0,11063.0
13,barber_r1,0.06956039597783407,0.0765038767301125,0.275965587891995,1.4195,0.05147659403107303,0.009132516177058087,0.7531165832839446,24.0,11051.0
16,barber_r1,0.0698285355724924,0.08201024427546645,0.21999263507288894,1.4151499999999997,0.05001799405252189,0.0006892044839305889,0.7525967121098304,28.0,12398.0
18,barber_r1,0.07192956786250063,0.09477149274955086,0.2093185864481164,1.315,0.05650922054420393,0.06114533214404238,0.7591440382015544,23.0,11003.0
21,barber_r1,0.07100339999332421,0.06476735259959371,0.10222728845107341,1.395,0.05377628380427335,0.010121013647974582,0.7409833673381164,24.0,11198.0
31,barber_r1,0.05040354152330617,0.06536905314885598,0.2975901225656764,1.399,0.044156617299792866,0.18030816435569247,0.718914507050333,24.0,11110.0
46,barber_r1,0.06401643404577924,0.06411463026276594,0.30700123738815915,1.385,0.03343494449441001,0.01024626631849761,0.747513975256017,24.0,11124.0
47,barber_r1,0.05945289230533305,0.06088751204306218,0.24087182175582184,1.406,0.05280308646523995,0.06137596556508181,0.7668924049121117,24.0,11072.0
55,barber_r1,0.07321150565358321,0.07018908650467133,0.23727768408974345,1.429,0.05533493695932989,0.05373062482274891,0.7635860480228195,24.0,11033.0
72,barber_r1,0.06341694408726824,0.06654383370971463,0.2446192761927809,1.407,0.053697259574096746,0.037904083390599384,0.7757737259225862,24.0,11059.0
78,barber_r1,,,0.6568761384335154,1.0674999999999997,0.13146405994267077,,,27.0,28.0
80,barber_r1,,,0.7583874458874457,0.08549999999999994,0.3018600292641666,,,24.0,24.0
88,barber_r1,0.0723922504121241,0.06260648083353376,0.284677479037822,1.3847999999999991,0.04841187414011834,0.10276928378471606,0.7228551310691317,11.0,5173.0
93,barber_r1,0.06279703006675134,0.07645237190243193,0.38438588746596275,1.376,0.052214598455946365,0.09269531926182964,0.7388284019875516,24.0,11081.0
98,barber_r1,0.06491732075755811,0.06133440682477226,0.2941572191251102,1.4032999999999993,0.052120455788734706,0.0022749963111874803,0.7192063610451793,24.0,10715.0
113,barber_r1,0.06837422789631385,0.07060862636708855,0.264172563826861,1.388,0.05239986713204145,0.06381050525610833,0.7388561616830951,24.0,11072.0
0,barber_r2,0.05772226132825559,0.06470066325185837,0.12658699314985983,1.428,0.05266286088688506,0.0005882277107048699,0.7214460327533005,28.0,12260.0
2,barber_r2,0.06621388384921609,0.07115553212646289,0.18767815368888713,1.4043500000000002,0.05256304309253494,,0.7421568019103766,26.0,11414.0
3,barber_r2,0.05662599102422742,0.05686248186487122,0.2929583821824796,1.399,0.05437415284430944,0.12121465446386234,0.7375424239629678,26.0,11523.0
