,Factor1,Factor2,Factor3,Factor4,Factor5
qualifying_pace,0.7539932980217899,0.06815646280006246,0.02475379728150432,-0.4107351260416327,-0.01752916143055588
best_race_lap,0.8326797640377702,0.13372116838686054,-0.02082801706736831,-0.12225786715216116,-0.30794331262432706
avg_top10_pace,0.795320630184727,-0.01630993217609799,0.015391701038233788,0.10412726194041041,0.076028859505984
stint_consistency,0.12667499804146093,0.17951084541822285,0.6101225832262711,-0.25977485623804747,0.22088668150570223
sector_consistency,-0.0376974018261856,0.21034617951151072,0.8012805344081191,0.2175149881318649,-0.13059268826233061
braking_consistency,0.09034493308773474,-0.031119211871866965,0.8986521117870457,0.04842739748627857,-0.12405123883403414
pace_degradation,0.03437824544851258,0.040414952130332804,0.09838815499234806,0.10132784745772801,0.41822480959228653
late_stint_perf,0.378737602606395,0.7554439036929848,0.15613381134246276,0.16786222024136224,0.003366172112461705
early_vs_late_pace,0.01206901116175839,0.8813439841876309,0.204473834029094,-0.11048162590601227,0.19475015580941968
position_changes,-0.19205092213572286,0.5856774433698503,-0.07271082234866037,0.5312500001185869,-0.1069450926846973
positions_gained,0.09297025447825764,0.06187655371104129,0.07600452777683474,0.8843954418506089,0.1818659590615041
performance_normalized,0.8233239876932444,0.0669168943274447,0.23652468941404525,0.3464000624244667,-0.03316703360816303
steering_smoothness,-0.02593586358370748,-0.013820995049988648,-0.09948544180830066,0.05829741909501248,0.5965443868119251
lateral_g_utilization,0.19230083471481216,-0.08526611662647192,0.11669645516396004,0.12451468608595624,-0.763133656969678
