driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency
2,roadamerica_r1,,0.06522574729214194,,1.004,,,
3,roadamerica_r1,,0.12489727336227681,,0.967,,,
5,roadamerica_r1,,2.751367779910085,,0.959,,,
7,roadamerica_r1,,0.09239174032077362,,0.975,,,
8,roadamerica_r1,,0.14189656849632354,,0.9553999999999996,,,
11,roadamerica_r1,,0.6578089855645891,,0.9670499999999997,,,
12,roadamerica_r1,,0.10798356627515944,,0.9700499999999997,,,
13,roadamerica_r1,,0.0861471319248414,,0.9623499999999999,,,
15,roadamerica_r1,,0.8961533977274042,,0.959,,,
16,roadamerica_r1,,0.11195791704946374,,0.918,,,
18,roadamerica_r1,,0.20045127326944662,,0.855,,,
21,roadamerica_r1,,0.10289979058093444,,0.985,,,
31,roadamerica_r1,,0.3974552821042854,,0.965,,,
41,roadamerica_r1,,0.17037095973764949,,0.968,,,
47,roadamerica_r1,,0.05815286284810404,,0.955,,,
55,roadamerica_r1,,0.08700601845986339,,0.953,,,
57,roadamerica_r1,,0.14746956662706487,,0.9153999999999997,,,
71,roadamerica_r1,,0.06490694398212064,,0.977,,,
72,roadamerica_r1,,0.07451309320837267,,0.971,,,
78,roadamerica_r1,,0.0991598218780393,,0.984,,,
80,roadamerica_r1,,0.23156786502824475,,0.8967999999999993,,,
86,roadamerica_r1,,0.10222764034280458,,0.963,,,
88,roadamerica_r1,,0.07284331251716392,,0.971,,,
89,roadamerica_r1,,0.07831724893893408,,0.977,,,
98,roadamerica_r1,,0.08152837757198451,,0.9713999999999996,,,
113,roadamerica_r1,,0.06709953316847843,,0.964,,,
