driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency
2,sonoma_r2,,0.05211643031664206,,1.35,,,
3,sonoma_r2,,0.06937349960983835,,1.299,,,
5,sonoma_r2,,0.06278783714036303,,1.259,,,
7,sonoma_r2,,0.07165007125789274,,1.335,,,
11,sonoma_r2,,0.0835600941186327,,1.27,,,
12,sonoma_r2,,0.09869719730510955,,1.2551000000000003,,,
13,sonoma_r2,,0.07417129325712536,,1.2983500000000003,,,
14,sonoma_r2,,0.06220464772921752,,1.32375,,,
15,sonoma_r2,,0.07804457771835684,,1.289,,,
16,sonoma_r2,,0.064855560787281,,1.319,,,
17,sonoma_r2,,0.0680501546186259,,1.2946499999999996,,,
21,sonoma_r2,,0.07436552791894221,,1.291,,,
31,sonoma_r2,,0.07415151243259013,,1.322,,,
41,sonoma_r2,,0.08018986083972557,,1.3041000000000005,,,
46,sonoma_r2,,0.053049990065076644,,1.287649999999999,,,
47,sonoma_r2,,0.0776814725677013,,1.316,,,
50,sonoma_r2,,0.07616456383267184,,1.315,,,
51,sonoma_r2,,0.06905536174033795,,1.2922999999999993,,,
55,sonoma_r2,,0.0682218131875083,,1.33,,,
67,sonoma_r2,,0.06756621004809793,,1.276,,,
71,sonoma_r2,,0.0649935804160528,,1.3290999999999984,,,
72,sonoma_r2,,0.06430542353222166,,1.3247499999999999,,,
73,sonoma_r2,,0.08454965866549624,,1.282,,,
78,sonoma_r2,,0.06568496642936696,,1.34,,,
80,sonoma_r2,,0.09640968701418814,,1.261,,,
88,sonoma_r2,,0.053540405593383786,,1.3128999999999995,,,
89,sonoma_r2,,0.06333947707599571,,1.315,,,
93,sonoma_r2,,0.07494982387382529,,1.295,,,
98,sonoma_r2,,0.05639961532594024,,1.346,,,
113,sonoma_r2,,0.07367964202458735,,1.30525,,,
