driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency
2,vir_r1,,0.06589104541238144,,1.197,,,
3,vir_r1,,0.07370527628777133,,1.181,,,
5,vir_r1,,0.06801338998230598,,1.202,,,
7,vir_r1,,0.0842513410559308,,1.199,,,
12,vir_r1,,0.11130040500105785,,1.161,,,
13,vir_r1,,0.07349967461629506,,1.179,,,
15,vir_r1,,0.0805901834066793,,1.1770499999999993,,,
21,vir_r1,,0.08312087857468412,,1.1887999999999994,,,
31,vir_r1,,0.07098492030373198,,1.179,,,
41,vir_r1,,0.0791574206377704,,1.189,,,
46,vir_r1,,0.07461981445248239,,1.191,,,
51,vir_r1,,0.07051199273572159,,1.2040499999999992,,,
55,vir_r1,,0.08276535320887468,,1.188,,,
71,vir_r1,,0.06443675182318671,,1.183,,,
72,vir_r1,,0.07128683204500297,,1.192,,,
80,vir_r1,,0.09933024737052343,,1.189,,,
88,vir_r1,,0.06978954771863205,,1.189,,,
93,vir_r1,,0.07650577959834048,,1.189,,,
113,vir_r1,,0.0739910417694448,,1.181,,,
