POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;4;1:36.926;-;-;137.5;9;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
2;72;4;1:37.112;+0.186;+0.186;137.2;9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
3;47;4;1:37.113;+0.187;+0.001;137.2;8;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;USA;;;;;;;
4;22;3;1:37.201;+0.275;+0.088;137.1;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;USA;;;;;;;
5;98;5;1:37.235;+0.309;+0.034;137.0;9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
6;2;4;1:37.358;+0.432;+0.123;136.9;9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
7;46;8;1:37.408;+0.482;+0.050;136.8;9;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
8;55;4;1:37.455;+0.529;+0.047;136.7;9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
9;31;5;1:37.559;+0.633;+0.104;136.6;9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
10;7;3;1:37.674;+0.748;+0.115;136.4;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
11;111;4;1:37.908;+0.982;+0.234;136.1;9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
12;113;4;1:37.922;+0.996;+0.014;136.1;9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
13;21;6;1:37.946;+1.020;+0.024;136.0;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
14;41;4;1:38.123;+1.197;+0.177;135.8;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
15;88;7;1:38.222;+1.296;+0.099;135.7;9;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;USA;;;;;;;
16;5;5;1:38.336;+1.410;+0.114;135.5;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
17;03;5;1:38.681;+1.755;+0.345;135.0;9;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
18;51;3;1:38.692;+1.766;+0.011;135.0;9;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
19;93;4;1:39.420;+2.494;+0.728;134.0;9;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
20;80;6;1:39.527;+2.601;+0.107;133.9;9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
21;58;3;1:39.863;+2.937;+0.336;133.4;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Liam;Harrison;;;USA;;;;;;;
22;18;9;1:41.780;+4.854;+1.917;130.9;9;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
