POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;5;2:26.974;-;-;134.0;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
2;46;3;2:27.122;+0.148;+0.148;133.9;5;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
3;55;4;2:27.416;+0.442;+0.294;133.6;6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
4;72;3;2:27.706;+0.732;+0.290;133.4;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
5;21;2;2:27.710;+0.736;+0.004;133.4;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
6;2;5;2:27.758;+0.784;+0.048;133.3;6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
7;13;5;2:27.781;+0.807;+0.023;133.3;6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
8;16;4;2:27.850;+0.876;+0.069;133.2;6;Copeland Motorsports;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean;;;USA;;;;;;;
9;47;3;2:28.234;+1.260;+0.384;132.9;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
10;78;2;2:28.374;+1.400;+0.140;132.8;5;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
11;41;3;2:28.386;+1.412;+0.012;132.8;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
12;71;2;2:28.388;+1.414;+0.002;132.7;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
13;5;3;2:28.429;+1.455;+0.041;132.7;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
14;31;5;2:28.498;+1.524;+0.069;132.7;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
15;89;2;2:28.501;+1.527;+0.003;132.6;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
16;98;6;2:28.661;+1.687;+0.160;132.5;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
17;88;6;2:28.727;+1.753;+0.066;132.4;6;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
18;15;2;2:28.843;+1.869;+0.116;132.3;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
19;14;4;2:29.653;+2.679;+0.810;131.6;6;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
