POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;22;2;2:30.369;-;-;156.0;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;;;;;;;;
2;72;3;2:30.701;+0.332;+0.332;155.6;4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;;;;;;;;
3;31;3;2:30.734;+0.365;+0.033;155.6;4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;;;;;;;;
4;55;3;2:30.755;+0.386;+0.021;155.6;4;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;;;;;;;;
5;2;3;2:30.996;+0.627;+0.241;155.3;4;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;;;;;;;;
6;7;2;2:31.047;+0.678;+0.051;155.3;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;;;;;;;;
7;13;3;2:31.047;+0.678;+0.000;155.3;4;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;;;;;;;;
8;21;3;2:31.102;+0.733;+0.055;155.2;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;;;;;;;;
9;47;3;2:31.139;+0.770;+0.037;155.2;4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;;;;;;;;
10;71;3;2:31.390;+1.021;+0.251;154.9;4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;;;;;;;;
11;113;3;2:31.413;+1.044;+0.023;154.9;4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;;;;;;;;
12;41;3;2:31.540;+1.171;+0.127;154.8;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;;;;;;;;
13;46;3;2:32.574;+2.205;+1.034;153.7;4;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;;;;;;;;
14;58;2;2:32.781;+2.412;+0.207;153.5;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jack;Murchison;;;;;;;;;;
15;98;2;2:32.787;+2.418;+0.006;153.5;4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;;;;;;;;
16;88;2;2:32.840;+2.471;+0.053;153.4;4;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;;;;;;;;
17;51;3;2:33.094;+2.725;+0.254;153.2;4;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;;;;;;;;
18;15;3;2:33.192;+2.823;+0.098;153.1;3;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;;;;;;;;
19;89;2;2:33.476;+3.107;+0.284;152.8;4;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;;;;;;;;
20;5;3;2:33.812;+3.443;+0.336;152.5;4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;;;;;;;;
21;11;3;2:34.891;+4.522;+1.079;151.4;4;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;;;;;;;;
22;03;2;2:34.995;+4.626;+0.104;151.3;3;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;;;;;;;;
23;8;2;2:38.515;+8.146;+3.520;148.0;3;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;;;;;;;;
24;18;2;2:39.185;+8.816;+0.670;147.3;4;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;;;;;;;;
25;12;2;2:39.191;+8.822;+0.006;147.3;4;BSI Racing;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;;;;;;;;
26;80;3;2:39.604;+9.235;+0.413;146.9;4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;;;;;;;;
27;86;2;2:40.522;+10.153;+0.918;146.1;4;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;;;;;;;;
28;57;2;2:40.711;+10.342;+0.189;145.9;4;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;;;;;;;;
