POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;3;2:13.033;-;-;103.9;5;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
2;98;3;2:14.049;+1.016;+1.016;103.1;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
3;7;3;2:14.075;+1.042;+0.026;103.1;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
4;78;3;2:15.635;+2.602;+1.560;101.9;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
5;89;3;2:15.709;+2.676;+0.074;101.8;5;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti*;;;ITA;;;;;;;
6;71;3;2:15.720;+2.687;+0.011;101.8;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
7;17;3;2:15.863;+2.830;+0.143;101.7;5;van der Steur Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Miles;Hewitt;;;USA;;;;;;;
8;55;3;2:15.887;+2.854;+0.024;101.7;5;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
9;46;3;2:16.057;+3.024;+0.170;101.6;5;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
10;21;3;2:16.660;+3.627;+0.603;101.1;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
11;50;3;2:16.732;+3.699;+0.072;101.1;5;Mashore Autobody;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Casey;Mashore;;;USA;;;;;;;
12;72;3;2:16.737;+3.704;+0.005;101.1;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
13;47;3;2:16.881;+3.848;+0.144;100.9;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
14;16;3;2:16.942;+3.909;+0.061;100.9;5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean*;;;USA;;;;;;;
