POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;6;2:06.489;-;-;149.8;7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
2;55;3;2:06.600;+0.111;+0.111;149.6;6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
3;2;7;2:06.628;+0.139;+0.028;149.6;7;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
4;13;5;2:06.702;+0.213;+0.074;149.5;6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
5;46;5;2:06.729;+0.240;+0.027;149.5;5;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
6;71;4;2:06.863;+0.374;+0.134;149.3;7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
7;72;2;2:07.051;+0.562;+0.188;149.1;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
8;88;4;2:07.306;+0.817;+0.255;148.8;7;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;USA;;;;;;;
9;98;3;2:07.374;+0.885;+0.068;148.7;7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
10;15;3;2:07.437;+0.948;+0.063;148.7;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
11;21;7;2:07.498;+1.009;+0.061;148.6;7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
12;31;5;2:07.507;+1.018;+0.009;148.6;7;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
13;113;5;2:07.748;+1.259;+0.241;148.3;7;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
14;5;4;2:07.838;+1.349;+0.090;148.2;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
15;111;5;2:07.963;+1.474;+0.125;148.1;7;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
16;89;7;2:08.071;+1.582;+0.108;147.9;7;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
17;03;4;2:08.121;+1.632;+0.050;147.9;6;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
18;41;4;2:08.262;+1.773;+0.141;147.7;7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
19;93;7;2:08.858;+2.369;+0.596;147.0;7;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
20;51;3;2:08.995;+2.506;+0.137;146.9;7;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
21;80;3;2:09.412;+2.923;+0.417;146.4;7;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
22;61;7;2:10.410;+3.921;+0.998;145.3;7;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;James;Klimas;;;USA;;;;;;;
23;12;7;2:12.873;+6.384;+2.463;142.6;7;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;USA;;;;;;;
;78;0;;;;;0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
